Silhouette,Fit,Front Neckline and Straps Shape,Front Neckline and Straps Depth,Front Neckline and Straps Detailing Style,Sleeve Fit and Style,Sleeve Length,Sleeve Detailing Style,Waist Style,Length,Hem Style,Pattern,Occasions,Persona,Predominant Colors,Background Color,product_id
A-line,Loose,V-neck with thin straps,Medium,Embroidered fish design,Sleeveless,N/A,N/A,"Loose, empire waist",Maxi,Straight,Embroidered fish design,"This embroidered maxi dress is perfect for summer events, beach parties, or casual outings. It can be dressed up with heels and a statement necklace for a night out or kept casual with sandals and a straw bag for a beach day.","The buyer persona for this dress is a woman in her late 20s to early 40s who appreciates unique, artistic designs. She enjoys expressing her personality through her clothing choices and gravitates towards pieces that make a statement.","['pink', 'white']",N/A,7418319601757
A-line,Loose,V-neck with thin straps,Medium,None,Sleeveless,N/A,N/A,Cinched at the natural waist,Maxi,Straight,Floral print,"This stunning maxi dress is perfect for summer events, beach vacations, or even a casual day out. The vibrant floral print and lightweight fabric make it a great choice for warm weather. Pair it with a wide-brimmed hat and sandals for a chic, effortless look.","The buyer persona for this dress is a woman in her late 20s to early 40s who loves bold prints and vibrant colors. She is confident and stylish, and she loves to stand out from the crowd. She is likely to be a trendsetter and enjoys experimenting with different fashion styles.","['red', 'white']",N/A,7418361577565
A-line,Loose,V-neck with thin straps,Medium,Shell button closure,Sleeveless,N/A,N/A,Cinched at the natural waist,Maxi,Straight,Shell print,"This vibrant maxi dress is perfect for summer events, beach vacations, or tropical getaways. Its lightweight fabric and bold print make it a great choice for warm weather, while the loose fit ensures comfort and breathability.","The buyer persona for this dress is a woman in her 20s to 30s who loves summer fashion and beachy vibes. She's adventurous, stylish, and always looking for pieces that make her feel confident and stand out.","['red', 'white']",N/A,7418292338781
A-line,Loose,Scalloped V-neck with thin straps,Shallow,Embroidered scalloping,Sleeveless,N/A,N/A,Fitted at the natural waist,Mini,Scalloped,Embroidered floral and shell motifs,"This mini dress with its vibrant embroidery is perfect for summer events, beach parties, or tropical vacations. It can be dressed up with statement earrings and heels for a night out or kept casual with sandals and a straw bag for daytime activities.","The buyer persona for this dress is a woman in her 20s or 30s who loves bold, colorful fashion. She is confident, adventurous, and always looking for unique pieces that reflect her personality.","['red', 'white']",N/A,7418279034973
A-line,Loose,V-neck with thin straps,Medium,Lace trimming,Sleeveless,N/A,N/A,Cinched at the natural waist,Midi,Straight,Floral print,"This floral midi dress is ideal for events such as garden parties, casual weddings, or daytime outings. It pairs well with light, elegant accessories and comfortable footwear for a stylish yet effortless look.","The buyer persona for this dress is a woman in her late 20s to early 40s who values elegance and simplicity. She prefers versatile, feminine pieces that can transition smoothly from casual to semi-formal occasions.","['blue', 'green', 'pink']",white,7418253836381
A-line,Loose,Butterfly-shaped cutout with thin straps,Deep,Embroidery,Sleeveless,N/A,N/A,Cinched at the natural waist,Maxi,Ruffled,Embroidered floral,"This stunning maxi dress is perfect for special occasions such as evening parties, galas, or destination weddings. Its intricate embroidery and elegant silhouette make it a show-stopper, while the loose fit ensures comfort throughout the event.",The buyer persona for this dress is a woman in her late 20s to early 40s who appreciates unique and eye-catching fashion. She is confident and loves to make a statement with her clothing choices.,"['white', 'green']",N/A,7418300366941
A-line,Loose,V-neck with thin straps,Medium,Lace trimming,Puffed sleeves,Short,Gathered at the shoulder and wrist,Cinched at the natural waist,Mini,Straight,Tropical banana leaf print,"This tropical-inspired mini dress is perfect for summer events, beach getaways, or casual outings. Its vibrant colors and playful pattern make it a great choice for anyone looking to add a touch of fun to their wardrobe.","The buyer persona for this dress is a woman in her 20s to 30s who loves bold prints and bright colors. She is confident, adventurous, and always looking for pieces that make a statement.","['green', 'blue', 'yellow']",N/A,7418243579997
A-line,Loose,V-neck with thin straps,Medium,Lace trimming,Sleeveless,N/A,N/A,Cinched at the natural waist,Midi,Straight,Floral print,"This floral midi dress is ideal for events such as garden parties, casual weddings, or daytime outings. It pairs well with light, elegant accessories and comfortable footwear for a stylish yet effortless look.","The buyer persona for this dress is a woman in her late 20s to early 40s who values elegance and simplicity. She prefers versatile, feminine pieces that can transition smoothly from casual to semi-formal occasions.","['blue', 'green', 'pink']",N/A,7418281361501
A-line,Loose,Scoop neck with shoulder pads,Shallow,None,Sleeveless,N/A,N/A,Gathered with a self-tie belt,Midi,Straight,Tropical floral print,"This tropical-inspired midi dress is perfect for summer outings, beach vacations, or casual weekend wear. It can be dressed up with statement earrings and heels for a night out or kept casual with sandals and a straw bag for a beach day.","The buyer persona for this dress is a woman in her 20s to 30s who loves vibrant colors and playful prints. She is confident, adventurous, and always looking for pieces that reflect her personality.","['blue', 'green', 'pink']",N/A,7418339328093
A-line,Loose,Square neckline with thin straps,Shallow,None,Sleeveless,N/A,N/A,Gathered at the natural waist with a tie,Maxi,Straight,Butterfly print,"This butterfly-print maxi dress is perfect for summer events, beach vacations, or casual outings. It can be dressed up with heels and a statement necklace for a night out or paired with sandals and a straw bag for a relaxed daytime look.","The buyer persona for this dress is a woman in her 20s or 30s who loves vibrant colors and playful prints. She is confident, stylish, and always looking for pieces that make a statement.","['blue', 'white']",N/A,7418306330717
